Framework,Standardized Rule No,Contextual Title,Atomic Statutory Content
BLA,BLA Section 14,14. | Loss of 3 (three) fingers of 1 (one) hand | 30,"14. | Loss of 3 (three) fingers
of 1 (one) hand | 30 Loss of 3 (three) fingers of 1 (one) hand"
BLA,BLA Section 15,15. | Loss of 2 (two) fingers of 1 (one) hand | 20,"15. | Loss of 2 (two) fingers
of 1 (one) hand | 20 Loss of 2 (two) fingers of 1 (one) hand"
BLA,BLA Section 16,16. | Loss of terminal phalanx of thumb | 10,"16. | Loss of terminal
phalanx of thumb | 10 Loss of terminal phalanx of thumb Amputation cases-lower limbs"
BLA,BLA Section 17,17. | Amputation of both feet | 90,17. | Amputation of both feet | 90 Amputation of both feet
BLA,BLA Section 18,18. | Amputation     through     both     feet     proximal     to     the metatarsophalangeal joint | 80,18. | Amputation     through     both     feet     proximal     to     the metatarsophalangeal joint | 80 Amputation through both feet proximal to the metatarsophalangeal joint
BLA,BLA Section 19,19. | Loss of all toes of both feet through the metatarso-phalangeal joint | 40,"19. | Loss of all toes of both feet
through the metatarso-phalangeal joint | 40 Loss of all toes of both feet through the metatarso-phalangeal joint"
BLA,BLA Section 20,20. | Loss of all toes of both feet from proximal to the proximal interphalangeal joint | 30,"20. | Loss of all toes
of both feet
from proximal to the
proximal interphalangeal joint | 30 Loss of all toes of both feet from proximal to the proximal interphalangeal joint"
BLA,BLA Section 21,21. | Loss of all toes of both feet from distal to the proximal interphalangeal joint | 20,"21. | Loss of all toes of both feet
from distal to the proximal interphalangeal joint | 20 Loss of all toes of both feet from distal to the proximal interphalangeal joint"
BLA,BLA Section 22,22. | Amputation from lower part of the hip | 90,"22. | Amputation from lower
part of the hip | 90 Amputation from lower part of the hip"
BLA,BLA Section 23,23. | Amputation from lower part of the hip with stump exceeding 12.5 centimetres measured from tip of great trenchanter,"23. | Amputation from lower
part of the hip with stump exceeding 12.5 centimetres measured from tip of great
trenchanter, but not beyond middle
thigh | 80 Amputation from lower part of the hip with stump exceeding 12.5 centimetres measured from tip of great trenchanter, but not beyond middle thigh"
BLA,BLA Section 24,24. | Amputation from lower   part of the hip with stump not exceeding 12.5 centimetres measured from tip   of great tre,"24. | Amputation from lower
  part of the hip with stump not exceeding 12.5 centimetres measured from tip
  of great trenchanter | 70 Amputation from lower part of the hip with stump not exceeding 12.5 centimetres measured from tip of great trenchanter"
BLA,BLA Section 25,25. | Amputation from middle thigh to 9 centimetres below knee | 60,"25. | Amputation from
middle thigh to 9 centimetres below
knee | 60 Amputation from middle thigh to 9 centimetres below"
BLA,BLA Section 26,26. | Amputation    below    knee    with    stump    exceeding    9 centimetres but not exceeding 12.5   centimetres |,"26. | Amputation    below    knee    with    stump    exceeding    9 centimetres but not exceeding 12.5
  centimetres | 50 Amputation below knee with stump exceeding 9 centimetres but not exceeding 12.5 centimetres"
BLA,BLA Section 27,27. | Amputation below knee with stump exceeding 12.5 centimetres | 40,"27. | Amputation below knee with stump
exceeding 12.5 centimetres | 40 Amputation below knee with stump exceeding 12.5 centimetres"
BLA,BLA Section 28,28. | Amputation of 1 (one) foot resulting in end-bearing | 30,28. | Amputation of 1 (one) foot resulting in end-bearing | 30 Amputation of 1 (one) foot resulting in end-bearing
BLA,BLA Section 29,29. | Amputation of one foot from proximal to the metatarso- phalangeal joint | 30,"29. | Amputation of one foot
from proximal to the metatarso-
phalangeal joint | 30 Amputation of one foot from proximal to the metatarso- phalangeal joint"
BLA,BLA Section 30,30. | Loss of all toes of 1 (one) foot through the metatarso-phalangeal   joint | 20,"30. | Loss of all toes of 1 (one)
foot through the metatarso-phalangeal
  joint | 20 Loss of all toes of 1 (one) foot through the metatarso-phalangeal joint Other injuries"
BLA,BLA Section 31,"31. | Loss of 1 (one) eye, without any complications, the other being normal | 40","31. | Loss of 1 (one) eye, without any complications, the other being normal | 40 Loss of 1 (one) eye, without any complications, the other being normal"
BLA,BLA Section 32,"32. | Loss of vision of 1 (one) eye, without any complications or disfigurement of eye-ball, the other   being normal |","32. | Loss of vision of 1 (one) eye, without any complications or disfigurement of eye-ball, the other
  being normal | 30 Loss of vision of 1 (one) eye, without any complications or disfigurement of eye-ball, the other being normal Loss of fingers
of right or left hand (Index finger) Loss of fingers of right or left hand (Index finger)"
BLA,BLA Section 33,33. | Whole | 14,33. | Whole | 14
BLA,BLA Section 34,34. | 2 (two) phalanges | 11,34. | 2 (two) phalanges | 11
BLA,BLA Section 2,2 (two) phalanges,2 (two) phalanges
BLA,BLA Section 35,35. | 1 (one) phalanx of finger | 9,"35. | 1 (one) phalanx
of finger | 9"
BLA,BLA Section 1,1 (one) phalanx of finger,1 (one) phalanx of finger
BLA,BLA Section 36,36 | Guillotine amputation of tip without loss of bone | 5,"36 | Guillotine amputation of tip without
loss of bone | 5 Guillotine amputation of tip without loss of bone (Middle finger)"
BLA,BLA Section 37,37. | Whole | 12,37. | Whole | 12
BLA,BLA Section 38,38. | 2 (two) phalanges | 9,38. | 2 (two) phalanges | 9
BLA,BLA Section 39,39. | 1 (one) phalanx | 7,39. | 1 (one) phalanx | 7
BLA,BLA Section 1,1 (one) phalanx,1 (one) phalanx
BLA,BLA Section 40,40. | Guillotine amputation of tip without loss of bone | 5,"40. | Guillotine amputation of tip without
loss of bone | 5 Guillotine amputation of tip without loss of bone (Ring or little
finger) (Ring or little finger)"
BLA,BLA Section 41,41. | Whole | 7,41. | Whole | 7
BLA,BLA Section 42,42. | 2 (two) phalanges | 6,42. | 2 (two) phalanges | 6
BLA,BLA Section 43,43. | 1 (one) phalanx | 5,43. | 1 (one) phalanx | 5
BLA,BLA Section 44,44. | Guillotine amputation of tip without loss of bone | 5,"44. | Guillotine amputation of tip without
loss of bone | 5 Guillotine amputation of tip without loss of bone (Toes of right or left foot (great toe))"
BLA,BLA Section 45,45. | Through metatarso-phalangeal joint | 10,45. | Through metatarso-phalangeal joint | 10 Through metatarso-phalangeal joint
BLA,BLA Section 46,"46. | Part, with some loss of bone | 3","46. | Part, with some loss of bone | 3 Part, with some loss of bone (Any other toe)"
BLA,BLA Section 47,47. | Through metatarso-phalangeal joint | 3,47. | Through metatarso-phalangeal joint | 3 Through metatarso-phalangeal joint
BLA,BLA Section 48,"48. | Part, with some loss of bone | 2","48. | Part, with some loss of bone | 2 Part, with some loss of bone (2 (two) toes of one foot excluding great toe)"
BLA,BLA Section 49,49. | Through metatarso-phalangeal joint | 5,49. | Through metatarso-phalangeal joint | 5 Through metatarso-phalangeal joint
BLA,BLA Section 50,"50. | Part, with some loss of bone | 2","50. | Part, with some loss of bone | 2 Part, with some loss of bone (3 (three) toes of 1 (one) foot, excluding great toe )"
BLA,BLA Section 51,51. | Through metatarso-phalangeal joint | 6,51. | Through metatarso-phalangeal joint | 6 Through metatarso-phalangeal joint
BLA,BLA Section 52,"52. | Part, with some loss of bone | 3","52. | Part, with some loss of bone | 3 Part, with some loss of bone (4 (four) toes of 1 (one) foot, excluding great toe)"
BLA,BLA Section 53,53. | Through metatarso-phalangeal joint | 9,53. | Through metatarso-phalangeal joint | 9 Through metatarso-phalangeal joint
BLA,BLA Section 54,"54. | Part, with some loss of bone | 5","54. | Part, with some loss of bone | 5 Part, with some loss of bone THE SECOND SCHEDULE [see sections 82 and 83]"
BLA,BLA Section 1,1. Lead poisoning;,1. Lead poisoning;
BLA,BLA Section 2,2. Lead tetra-ethyl poisoning;,2. Lead tetra-ethyl poisoning;
BLA,BLA Section 3,3. Phosphorus poisoning;,3. Phosphorus poisoning;
BLA,BLA Section 4,4. Mercury poisoning;,4. Mercury poisoning;
BLA,BLA Section 5,5. Manganese poisoning;,5. Manganese poisoning;
BLA,BLA Section 6,6. Arsenic poisoning;,6. Arsenic poisoning;
BLA,BLA Section 7,7. Poisoning by nitrous fumes;,7. Poisoning by nitrous fumes;
BLA,BLA Section 8,8. Carbon bi-sulphide poisoning;,8. Carbon bi-sulphide poisoning;
BLA,BLA Section 9,9. Benzene poisoning or poisoning by any of its homologues;,9. Benzene poisoning or poisoning by any of its homologues;
BLA,BLA Section 10,10. Chrome ulceration;,10. Chrome ulceration;
BLA,BLA Section 11,11. Anthrax;,11. Anthrax;
BLA,BLA Section 12,12. Silicosis;,12. Silicosis;
BLA,BLA Section 13,13. Poisoning by halogens;,13. Poisoning by halogens;
BLA,BLA Section 14,14. Pathological manifestation due to X-rays or radium or other radioactive substances;,14. Pathological manifestation due to X-rays or radium or other radioactive substances;
BLA,BLA Section 15,15. Primary epitheliomatous cancer of the skin;,15. Primary epitheliomatous cancer of the skin;
BLA,BLA Section 16,16. Toxic anemia;,16. Toxic anemia;
BLA,BLA Section 17,17. Toxic jaundice due to poisonous substances;,17. Toxic jaundice due to poisonous substances;
BLA,BLA Section 18,18. Oil acne or dermatitis due to mineral oils and compounds containing mineral oil base;,18. Oil acne or dermatitis due to mineral oils and compounds containing mineral oil base;
BLA,BLA Section 19,19. Byssionosis;,19. Byssionosis;
BLA,BLA Section 20,20. Asbestosis;,20. Asbestosis;
BLA,BLA Section 21,21. Occupational or contract dermatitis caused by direct contract with chemical and paints;,21. Occupational or contract dermatitis caused by direct contract with chemical and paints;
BLA,BLA Section 22,22. Noise induced hearing loss;,22. Noise induced hearing loss;
BLA,BLA Section 23,23. Beryllium poisoning;,23. Beryllium poisoning;
BLA,BLA Section 24,24. Carbon monoxide;,24. Carbon monoxide;
BLA,BLA Section 25,25. Coal miners' pneumoconiosis;,25. Coal miners' pneumoconiosis;
BLA,BLA Section 26,26. Phosgene poisoning;,26. Phosgene poisoning;
BLA,BLA Section 27,27. Occupational cancer;,27. Occupational cancer;
BLA,BLA Section 28,28. Isocyanides poisoning;,28. Isocyanides poisoning;
BLA,BLA Section 29,29. Toxic nephritis;,29. Toxic nephritis;
BLA,BLA Section 30,30. Jolt induced occupational diseases.,"30. Jolt induced occupational diseases. [see section 150] List of Occupational Disease Serial
No. | Occupational disease | Employment Occupational disease Employment"
BLA,BLA Section 1,"1. | Anthrax. | Any employment- (a)      involving the handling of wool, hair,   bristles, animal carcasses or parts of","1. | Anthrax. | Any employment-
(a)   
  involving the handling of wool, hair,
  bristles, animal carcasses or parts of carcasses;
(b)   
  in connection with animals infected with anthrax; or
(c)   
  involving the loading, unloading or transport
  of any merchandise. Anthrax. Any employment-"
BLA,BLA Section 1(a),"1. | Anthrax. | Any employment- (a)      involving the handling of wool, hair,   bristles, animal carcasses or parts of","(a) involving the handling of wool, hair, bristles, animal carcasses or parts of carcasses;"
BLA,BLA Section 1(b),"1. | Anthrax. | Any employment- (a)      involving the handling of wool, hair,   bristles, animal carcasses or parts of",(b) in connection with animals infected with anthrax; or
BLA,BLA Section 1(c),"1. | Anthrax. | Any employment- (a)      involving the handling of wool, hair,   bristles, animal carcasses or parts of","(c) involving the loading, unloading or transport of any merchandise."
BLA,BLA Section 2,2. | Compressed air illness and its sequelae. | Any process carried on in compressed air.,"2. | Compressed air illness and its sequelae. | Any process
carried on in compressed air. Compressed air illness and its sequelae. Any process carried on in compressed air."
BLA,BLA Section 3,3. | Poisoning by lead tetra-ethyl. | Any process involving the use of lead tetraethyl.,"3. | Poisoning by lead tetra-ethyl. | Any process
involving the use of lead
tetraethyl. Poisoning by lead tetra-ethyl. Any process involving the use of lead tetraethyl."
BLA,BLA Section 4,4. | Poisoning by nitrous fumes. | Any process involving exposure to nitrous fumes.,4. | Poisoning by nitrous fumes. | Any process involving exposure to nitrous fumes. Poisoning by nitrous fumes. Any process involving exposure to nitrous fumes.
BLA,BLA Section 5,"5. | Poisoning by manganese. | Using or handling of, or exposure to the fumes, dust or vapour of   manganese, or a compo","5. | Poisoning by manganese. | Using or handling of, or exposure to the fumes, dust or vapour of
  manganese, or a compound of manganese or substances
containing manganese. Poisoning by manganese. Using or handling of, or exposure to the fumes, dust or vapour of manganese, or a compound of manganese or substances containing manganese."
BLA,BLA Section 6,"6. | Poisoning bisulphide. | by | carbon | Using or   handling of, or exposure to the fumes, dust or vapour of carbon","6. | Poisoning bisulphide. | by | carbon | Using or
  handling of, or exposure to the fumes, dust or vapour of carbon
  bisulphide or a compound of carbon bisulphide  or  a  substances  containing
carbon bisulphide. Poisoning bisulphide. Using or handling of, or exposure to the fumes, dust or vapour of carbon bisulphide or a compound of carbon bisulphide or a substances containing carbon bisulphide."
BLA,BLA Section 7,"7. | Poisoning by tetrachlorethane. | Using or handling of, or exposure to the fumes, dust or vapour of compound of tetr","7. | Poisoning by tetrachlorethane. | Using or handling of, or exposure to the fumes, dust or vapour
of compound of
tetrachlorethane. Poisoning by tetrachlorethane. Using or handling of, or exposure to the fumes, dust or vapour of compound of tetrachlorethane."
BLA,BLA Section 8,8. | Poisoning by pesticide. | Spraying of pesticide.,8. | Poisoning by pesticide. | Spraying of pesticide. Poisoning by pesticide. Spraying of pesticide.
BLA,BLA Section 9,9. | Poisoning by leptospira ictero haemorrahagia. | Works in a rat infested place.,9. | Poisoning by leptospira ictero haemorrahagia. | Works in a rat infested place. Poisoning by leptospira ictero haemorrahagia. Works in a rat infested place.
BLA,BLA Section 10,"10. | Poisoning by dinitrophenol or homologue. | Using or handling of, or exposure to the fumes, dust or vapour of dinit","10. | Poisoning by dinitrophenol or homologue. | Using or handling of, or exposure to the
fumes, dust or vapour of dinitrophenol or its homogenous. Poisoning by dinitrophenol or homologue. Using or handling of, or exposure to the fumes, dust or vapour of dinitrophenol or its homogenous."
BLA,BLA Section 11,"11. | Poisoning phosphate. | by | tricresyl | Using or handling of, or   exposure to the fumes, dust or vapour of any su","11. | Poisoning phosphate. | by | tricresyl | Using or handling of, or
  exposure to the fumes, dust or vapour of any substance containing tricresyl. Poisoning phosphate. tricresyl Using or handling of, or exposure to the fumes, dust or vapour of any substance containing tricresyl."
BLA,BLA Section 12,12. | Chrome     ulceration      or     its sequelae. | Using or   handling of chromic acid or chromates or bichromate o,"12. | Chrome     ulceration      or     its sequelae. | Using or
  handling of chromic acid or chromates or bichromate of ammonium, potassium,
  sodium or zinc, or preparation or  solution  containing  any  of  these
substances. Chrome ulceration or its sequelae. Using or handling of chromic acid or chromates or bichromate of ammonium, potassium, sodium or zinc, or preparation or solution containing any of these substances."
BLA,BLA Section 13,"13. | Contact produced by   exposure to the glare of, or rays from molten glass or red-hot metal. | Frequent of prolonge","13. | Contact produced by
  exposure to the glare of, or rays from molten glass or red-hot metal. | Frequent of prolonged
  exposure to the glare of, or rays
  from molten glass or molten or red-hot metal. Contact produced by exposure to the glare of, or rays from molten glass or red-hot metal. Frequent of prolonged exposure to the glare of, or rays from molten glass or molten or red-hot metal."
BLA,BLA Section 14,"14. | Poisoning by beryllium. | Using or handling of, or exposure to the","14. | Poisoning by beryllium. | Using or handling of, or exposure to the Poisoning by beryllium. Using or handling of, or exposure to the fumes, dust
or vapour of beryllium or a
compound of beryllium or any substance containing beryllium. fumes, dust or vapour of beryllium or a compound of beryllium or any substance containing beryllium."
BLA,BLA Section 15,15. | Carcinoma of   mucous membranes of the nose or associated air sinuses of primary carcinoma branchus of lung. | Any,"15. | Carcinoma of
  mucous membranes of the nose or associated air sinuses of primary carcinoma branchus of
lung. | Any
  occupation in a factory where nickel is produced by decomposition of a
  gaseous nickel compound which involves work in or about  a 
  building  where  that  process
ancillary or incidental thereto
is carried on. Carcinoma of mucous membranes of the nose or associated air sinuses of primary carcinoma branchus of Any occupation in a factory where nickel is produced by decomposition of a gaseous nickel compound which involves work in or about a building where that process ancillary or incidental thereto is carried on."
BLA,BLA Section 16,16. | Papilloma of urinal bladder. | (a)    Works in a building where the following substances   are produced for commer,"16. | Papilloma of urinal bladder. | (a) 
  Works in a building where the following substances
  are produced for commercial purposes, namely:-
(1)              
  alpha-naphthylamine,            beta-naphtylamine or benzadine or any of
  their salt;
(2) 
  auramine or magenta;
(b) Using or handling of
  any substances mentioned in paragraph (a) (1), or work in process in which such
substance is used
or liberated. Papilloma of urinal bladder. or liberated."
BLA,BLA Section 16(a),16. | Papilloma of urinal bladder. | (a)    Works in a building where the following substances   are produced for commer,"(a) Works in a building where the following substances are produced for commercial purposes, namely:-"
BLA,BLA Section 16(1),16. | Papilloma of urinal bladder. | (a)    Works in a building where the following substances   are produced for commer,"(1) alpha-naphthylamine, beta-naphtylamine or benzadine or any of their salt;"
BLA,BLA Section 16(2),16. | Papilloma of urinal bladder. | (a)    Works in a building where the following substances   are produced for commer,(2) auramine or magenta;
BLA,BLA Section 16(b),16. | Papilloma of urinal bladder. | (a)    Works in a building where the following substances   are produced for commer,"(b) Using or handling of any substances mentioned in paragraph (a) (1), or work in process in which such substance is used"
BLA,BLA Section 17,17. | Lead poisoning or its sequelae (excluding poisoning by lead   tetraethyl). | Any process involving the use of lead,"17. | Lead poisoning or its sequelae
(excluding poisoning by lead
  tetraethyl). | Any process
involving the use of lead or
any of its preparations or compounds except lead tetraethyl. Lead poisoning or its sequelae (excluding poisoning by lead tetraethyl). Any process involving the use of lead or any of its preparations or compounds except lead tetraethyl."
BLA,BLA Section 18,18. | Poisoning by phosphorous or its sequelae. | Any process involving   the use of phosphorous or its preparations or,"18. | Poisoning by phosphorous or its sequelae. | Any process involving
  the use of phosphorous or its preparations or compounds. Poisoning by phosphorous or its sequelae. Any process involving the use of phosphorous or its preparations or compounds."
BLA,BLA Section 19,19. | Mercury sequelae. | poisoning | or | its | Any process involving the use of mercury or its preparations or compoun,"19. | Mercury
sequelae. | poisoning | or | its | Any process involving the use of mercury
or its preparations or compounds. sequelae. poisoning Any process involving the use of mercury or its preparations or compounds."
BLA,BLA Section 20,"20. | Poisoning by benzene and   its homologues, or the sequelae of   it. | Handling   benzene or any of its homologues","20. | Poisoning by benzene and
  its homologues, or the sequelae of
  it. | Handling
  benzene or any of its homologues
  and any process in the manufacture  or  involving  the  use  of
benzene or any of its homologues. Poisoning by benzene and its homologues, or the sequelae of it. Handling benzene or any of its homologues and any process in the manufacture or involving the use of benzene or any of its homologues."
BLA,BLA Section 21,"21. | Arsenical sequelae. | Poisoning | or | its | Any process involving   the production, liberation or utilization of","21. | Arsenical sequelae. | Poisoning | or | its | Any process involving
  the production, liberation or utilization of arsenic or its compounds. Arsenical sequelae. Poisoning Any process involving the production, liberation or utilization of arsenic or its compounds."
BLA,BLA Section 22,"22. | Pathological        manifestations due to X-ray, radium and other radioactive substance; | Any process involving e","22. | Pathological        manifestations
due to X-ray, radium and other radioactive substance; | Any process involving exposure to the
action of X-rays,
radium or other
radio-active substances. Pathological manifestations due to X-ray, radium and other radioactive substance; Any process involving exposure to the action of X-rays, radium or other radio-active substances."
BLA,BLA Section 23,"23. | Primary            epitheliematous cancer of the skin. | Any process involving the handling or use of tar, pitch,","23. | Primary            epitheliematous cancer of the skin. | Any process involving the handling or use of tar,
pitch, bitumen, mineral oil, paraffin,
or the compounds, products or residues of these substances. Primary epitheliematous cancer of the skin. Any process involving the handling or use of tar, pitch, bitumen, mineral oil, paraffin, or the compounds, products or residues of these substances."
BLA,BLA Section 24,24. | Silicosis. | Any employment involving exposure to the   inhalation of dust containing silica.,"24. | Silicosis. | Any employment involving exposure to the
  inhalation of dust containing silica. Silicosis. Any employment involving exposure to the inhalation of dust containing silica."
BLA,BLA Section 25,25. | Pneumoconiosis of the coal   mine worker. | Any employment in coal mining.,"25. | Pneumoconiosis of the coal
  mine worker. | Any employment in coal mining. Pneumoconiosis of the coal mine worker. Any employment in coal mining."
BLA,BLA Section 26,"26. | Asbestosis. | Any    employment     in     producing     fiber cements materials or asbestos mill board, processin","26. | Asbestosis. | Any    employment     in     producing     fiber cements materials or asbestos mill board,
processing of ore containing asbestos. Asbestosis. Any employment in producing fiber cements materials or asbestos mill board, processing of ore containing asbestos."
BLA,BLA Section 27,27. | Bagassosis. | Any  employment  in  the  production  of bagasse mill board or other article from bagasse.,"27. | Bagassosis. | Any  employment  in  the  production  of
bagasse mill board
or other article
from bagasse. Bagassosis. Any employment in the production of bagasse mill board or other article from bagasse."
BLA,BLA Section 28,"28. | Byssinosis. | Any employment in cotton-room, blowing-","28. | Byssinosis. | Any employment in cotton-room, blowing- Byssinosis. Any employment in cotton-room, blowing- room carding
room in such industry where
spinning of raw cotton is produced. room carding room in such industry where spinning of raw cotton is produced."
BLA,BLA Section 29,29. | Writerfs cramp. | Hand-writing for prolonged period.,29. | Writerfs cramp. | Hand-writing for prolonged period. Writerfs cramp. Hand-writing for prolonged period.
BLA,BLA Section 30,30. | Twisterfs cramp. | The twisting of cotton or woolen yarn.,30. | Twisterfs cramp. | The twisting of cotton or woolen yarn. Twisterfs cramp. The twisting of cotton or woolen yarn.
BLA,BLA Section 31,31. | Minerfs nystagmus. | Work in poorly illuminated mines.,"31. | Minerfs nystagmus. | Work in poorly
illuminated mines. Minerfs nystagmus. Work in poorly illuminated mines."
BLA,BLA Section 32,32. | Dermatitis. | (1)       Any occupation where organic or inorganic chemicals are used or handled. (2)     Any occup,"32. | Dermatitis. | (1)    
  Any occupation where
organic or inorganic chemicals are used or handled.
(2)  
  Any occupation where
any material is
handled manually. Dermatitis. handled manually."
BLA,BLA Section 32(1),32. | Dermatitis. | (1)       Any occupation where organic or inorganic chemicals are used or handled. (2)     Any occup,(1) Any occupation where organic or inorganic chemicals are used or handled.
BLA,BLA Section 32(2),32. | Dermatitis. | (1)       Any occupation where organic or inorganic chemicals are used or handled. (2)     Any occup,(2) Any occupation where any material is
BLA,BLA Section 33,33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"33. | Fibrosis of lung. | Any process where
jute and cotton
fibre are used. Fibrosis of lung. Any process where jute and cotton fibre are used. [see section 150 (8)] Any person who is— Provided that any excavation in which not more than 50 (fifty) persons were employed, or no explosive was used on any day within the preceding 12 (twelve) months and whose depth is not more than 6 (six) metres shall not be deemed to be a mine for the purpose of this clause; the master or seaman, or employed in operation of transport within the limits of any port subject to the Ports Act, 1908 (Act No. XV of 1908), used for loading or unloading cargoes in or from a ship;"
BLA,BLA Section 33(1),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(1) employed, otherwise than in the railway or in a clerical capacity, in connection with the operation or maintenance of a lift or a vehicle propelled by steam or other mechanical power or by electricity;"
BLA,BLA Section 33(2),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(2) employed in any premises wherein or within the precincts whereof 5 (five) or more persons are employed in a manufacturing process or in any kind of work whatsoever incidental to or connected with any such manufacturing process or with the article made, and steam, water or other mechanical power or electrical power is used, but does not include any person who is employed as a clerk only in a place or room where no manufacturing process is carried on;"
BLA,BLA Section 33(3),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(3) employed for the purpose of making, altering, repairing, ornamenting, finishing or otherwise adapting for use, transport or sale any article or part of an article in any premises wherein or within the precincts whereof at least five persons are employed for a fixed wages;"
BLA,BLA Section 33(4),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,(4) employed in the manufacture or handling of explosives in any premises wherein or within the precincts whereof at least 10 (ten) persons are employed;
BLA,BLA Section 33(5),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(5) employed in a mine in any kind of work, other than clerical work, incidental to or connected with mining operation or with the minerals obtained, or in any kind of work whatsoever below ground:"
BLA,BLA Section 33(6),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(6) employed as master, seaman or otherwise on any ship or vessel which is propelled wholly or in part by steam or other mechanical power or by electricity, or which is towed by a ship or vessel so propelled;"
BLA,BLA Section 33(7),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(7) employed for the purpose of loading, unloading, fuelling, constructing, repairing, demolishing, cleaning or painting any ship of which he is not"
BLA,BLA Section 33(8),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,(8) employed in loading or unloading of goods in the vehicles propelled by mechanical power in the Chittagong and Mongla Ports;
BLA,BLA Section 33(9),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(9) employed in the following kinds of construction, maintenance, repair or demolition, namely:-"
BLA,BLA Section 33(a),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(a) any building or structure,"
BLA,BLA Section 33(b),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(b) any dam or embankment which is 6 (six) metres or more in height from its lowest to the highest point,"
BLA,BLA Section 33(c),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(c) any road, bridge or tunnel, or"
BLA,BLA Section 33(d),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(d) any wharf, quay, sea-wall or other marine work including any moorings of ships;"
BLA,BLA Section 33(10),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(10) employed in setting up, maintaining, repairing or taking down any telegraph or telephone line or post or any overhead electric line or cable or post therefor;"
BLA,BLA Section 33(11),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(11) employed, otherwise than in a clerical capacity, in the construction, working, repair or demolition of any aerial ropeway, canal, pipe-line, or sewer;"
BLA,BLA Section 33(12),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,(12) employed in any work of the fire brigade;
BLA,BLA Section 33(13),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(13) employed in railway directly or through a sub-contractor, by a person fulfilling a contract with the railway;"
BLA,BLA Section 33(14),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(14) employed as a Labour inspector, mail guard, sorter or van peon in the Railway Mail Service, or employed in any occupation ordinarily involving outdoor work in the Post and Telegraph Department;"
BLA,BLA Section 33(15),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(15) employed as treasurer clerk performing outdoor duties in the Post, Telegraph and Telephone Department;"
BLA,BLA Section 33(16),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,"(16) employed, otherwise than in a clerical capacity, in connection with operations for raising natural petroleum or natural gas;"
BLA,BLA Section 33(17),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,(17) employed in any occupation involving blasting operations;
BLA,BLA Section 33(18),33. | Fibrosis of lung. | Any process where jute and cotton fibre are used.,(18) employed in any construction or excavation work in which more than
BLA,BLA Section 25,"25 (twenty-five) persons are employed or explosives are used, or whose depth from its highest to the lowest point exceed","25 (twenty-five) persons are employed or explosives are used, or whose depth from its highest to the lowest point exceeds 6 (six) metres; [see section 151] Amount of compensation payable in certain cases Monthly wages of the injured
worker | Amount of compensation | Monthly payment as
  compensation for temporary
disablement Monthly wages of the injured Amount of compensation Monthly payment as compensation for temporary disablement In case of death | permanent total
disablement permanent total Whatever be
  the amount of basic wages of the worker | Tk/-200,000 | Tk/-250,000 | Compensation shall be paid for the period of disablement or for
1    (one)    year,    whichever    is shorter. Whatever be the amount of basic wages of the worker Tk/-200,000 Tk/-250,000 Compensation shall be paid for the period of disablement or for"
BLA,BLA Section 25(19),"25 (twenty-five) persons are employed or explosives are used, or whose depth from its highest to the lowest point exceed",(19) employed in the operation of any ferry boat capable of carrying more than 10 (ten) persons;
BLA,BLA Section 25(20),"25 (twenty-five) persons are employed or explosives are used, or whose depth from its highest to the lowest point exceed","(20) employed, otherwise than in a clerical capacity, in any estate which is used for the purpose of growing coffee, rubber or tea, and where at least 25 (twenty-five) persons are employed;"
BLA,BLA Section 25(21),"25 (twenty-five) persons are employed or explosives are used, or whose depth from its highest to the lowest point exceed","(21) employed, otherwise than in a clerical capacity, in the generating, transforming or supplying of electricity or in the generating or supplying of gas;"
BLA,BLA Section 25(22),"25 (twenty-five) persons are employed or explosives are used, or whose depth from its highest to the lowest point exceed","(22) employed in a lighthouse as defined in section 2 (d) of the Lighthouse Act, 1927 (Act No. XVII of 1927);"
BLA,BLA Section 25(23),"25 (twenty-five) persons are employed or explosives are used, or whose depth from its highest to the lowest point exceed",(23) employed in producing cinematograph pictures intended for public exhibition or in exhibiting such pictures;
